IdCliente,Nombre,Apellido,Correo,Telefono,IdCiudad,FechaRegistro
1,Jorge,Rodríguez,jorge.rodríguez1@gmail.com,3211419610,13,2023-01-31
2,Esperanza,Torres,esperanza.torres2@gmail.com,3033341057,13,2021-02-23
3,Felipe,Buitrago,felipe.buitrago3@gmail.com,3282458591,9,2024-09-24
4,Stiven,García,stiven.garcía4@gmail.com,3002571945,4,2022-08-10
5,Rubiela,Gómez,rubiela.gómez5@gmail.com,3291445199,11,2022-03-25
6,Marina,Mora,marina.mora6@gmail.com,3288038374,4,2025-01-13
7,María,Ramírez,maría.ramírez7@gmail.com,3241109031,3,2024-09-27
8,Jesús,Vásquez,jesús.vásquez8@gmail.com,3143608513,4,2023-10-10
9,Marina,Fernández,marina.fernández9@gmail.com,3017374122,2,2024-01-10
10,Edwin,Rodríguez,edwin.rodríguez10@gmail.com,3195437923,1,2025-02-24
11,Mario,Benavides,mario.benavides11@gmail.com,3217350753,2,2023-04-15
12,Ruth,Sánchez,ruth.sánchez12@gmail.com,3297067228,9,2022-02-26
13,René,Quintero,rené.quintero13@gmail.com,3211768805,12,2022-07-22
14,Andrea,López,andrea.lópez14@gmail.com,3114905582,2,2024-04-05
15,Edgar,Agudelo,edgar.agudelo15@gmail.com,3177120868,3,2024-02-25
16,Mario,Ariza,mario.ariza16@gmail.com,3135479144,13,2020-10-19
17,Andrés,Cardozo,andrés.cardozo17@gmail.com,3229961380,13,2022-09-29
18,Myriam,Caicedo,myriam.caicedo18@gmail.com,3077366205,5,2022-06-18
19,Álvaro,Beltrán,álvaro.beltrán19@gmail.com,3251938483,4,2020-05-11
20,Nelson,Escobar,nelson.escobar20@gmail.com,3165491946,2,2022-05-14
21,Diego,Gómez,diego.gómez21@gmail.com,3254567281,12,2025-08-06
22,Ángela,Gutiérrez,ángela.gutiérrez22@gmail.com,3173396987,5,2021-07-25
23,Ana,Moreno,ana.moreno23@gmail.com,3085408072,13,2024-10-20
24,Diana,Castro,diana.castro24@gmail.com,3267073292,4,2021-07-20
25,Fernando,Morales,fernando.morales25@gmail.com,3272525206,1,2021-03-25
26,Eliana,Rojas,eliana.rojas26@gmail.com,3028082668,9,2020-09-17
27,Mónica,Cuesta,mónica.cuesta27@gmail.com,3168852574,11,2022-10-26
28,Jesús,León,jesús.león28@gmail.com,3202921859,12,2022-12-28
29,Carolina,Padilla,carolina.padilla29@gmail.com,3252871534,5,2024-11-15
30,Claudia,Rivera,claudia.rivera30@gmail.com,3071054447,13,2022-12-14
31,Edisson,Bedoya,edisson.bedoya31@gmail.com,3229517485,2,2023-05-07
32,Luis,Duque,luis.duque32@gmail.com,3284337174,3,2024-03-11
33,Héctor,Guevara,héctor.guevara33@gmail.com,3089897858,1,2023-08-20
34,Ángela,Gómez,ángela.gómez34@gmail.com,3102876828,6,2023-06-13
35,Valentina,Ortiz,valentina.ortiz35@gmail.com,3005041154,9,2020-11-18
36,Laura,Valderrama,laura.valderrama36@gmail.com,3072161193,11,2021-05-30
37,Germán,Álvarez,germán.álvarez37@gmail.com,3073770370,5,2025-12-01
38,Jesús,Medina,jesús.medina38@gmail.com,3264553384,11,2022-04-03
39,Néstor,Cruz,néstor.cruz39@gmail.com,3247693979,12,2024-03-09
40,Mónica,Vargas,mónica.vargas40@gmail.com,3188574680,2,2022-10-12
41,Luis,Muñoz,luis.muñoz41@gmail.com,3016672134,1,2022-07-31
42,Juan,Burbano,juan.burbano42@gmail.com,3231120642,2,2020-08-29
43,Pilar,Torres,pilar.torres43@gmail.com,3011527021,6,2020-10-17
44,Leider,Palacios,leider.palacios44@gmail.com,3235672073,12,2025-06-11
45,Andrea,Gómez,andrea.gómez45@gmail.com,3083219824,13,2025-04-20
46,Sandra,Pineda,sandra.pineda46@gmail.com,3077829332,4,2021-01-21
47,Dario,Salazar,dario.salazar47@gmail.com,3066944126,7,2024-08-10
48,Patricia,Flórez,patricia.flórez48@gmail.com,3102651177,1,2024-07-07
49,Albert,Contreras,albert.contreras49@gmail.com,3252833230,4,2022-02-23
50,Moisés,Estrada,moisés.estrada50@gmail.com,3088526486,3,2024-09-24
51,María,Camargo,maría.camargo51@gmail.com,3048761611,4,2020-11-04
52,Manuel,Montoya,manuel.montoya52@gmail.com,3182642635,1,2020-03-01
53,Mónica,Bedoya,mónica.bedoya53@gmail.com,3033790237,7,2025-06-12
54,Martha,Mejía,martha.mejía54@gmail.com,3137728339,1,2021-11-05
55,Valeria,Posada,valeria.posada55@gmail.com,3107550190,5,2025-02-06
56,Germán,Ortiz,germán.ortiz56@gmail.com,3169164991,3,2022-02-16
57,José,Díaz,josé.díaz57@gmail.com,3131981186,9,2020-09-06
58,Yeison,Polo,yeison.polo58@gmail.com,3251959074,1,2025-05-06
59,Stella,Henao,stella.henao59@gmail.com,3283641282,1,2025-09-11
60,Alberto,Sánchez,alberto.sánchez60@gmail.com,3022149597,9,2020-10-05
61,Cristian,Montoya,cristian.montoya61@gmail.com,3237774229,2,2022-10-05
62,Jaime,Contreras,jaime.contreras62@gmail.com,3291666754,9,2020-12-01
63,María,Valencia,maría.valencia63@gmail.com,3199770838,6,2022-12-04
64,María,Oviedo,maría.oviedo64@gmail.com,3055004485,5,2024-06-09
65,Fabio,Serrano,fabio.serrano65@gmail.com,3048670955,6,2020-10-24
66,Natalia,Martínez,natalia.martínez66@gmail.com,3072677407,2,2022-05-23
67,Henry,Erazo,henry.erazo67@gmail.com,3243222252,6,2020-10-08
68,Andrea,Reyes,andrea.reyes68@gmail.com,3055781295,3,2024-11-29
69,Patricia,Ochoa,patricia.ochoa69@gmail.com,3249874152,1,2023-05-11
70,Sebastián,Hernández,sebastián.hernández70@gmail.com,3213253031,5,2021-04-17
71,Linda,Caicedo,linda.caicedo71@gmail.com,3083607983,5,2023-02-28
72,Mónica,Arboleda,mónica.arboleda72@gmail.com,3236752576,4,2022-12-17
73,Deisy,Rojas,deisy.rojas73@gmail.com,3275213115,1,2021-01-13
74,Andrés,Ariza,andrés.ariza74@gmail.com,3265641923,1,2020-01-15
75,Alejandra,Álvarez,alejandra.álvarez75@gmail.com,3125394880,3,2024-12-14
76,Ancizar,Bernal,ancizar.bernal76@gmail.com,3261162230,2,2020-11-04
77,Betty,Delgado,betty.delgado77@gmail.com,3221604451,6,2021-08-29
78,Paola,Torres,paola.torres78@gmail.com,3121701771,5,2024-02-02
