IdEmpleado,Nombre,Apellido,Salario,IdRol,IdSucursal
1,Mireya,Barreto,5802656,2,6
2,Maritza,Gutiérrez,3200814,3,3
3,Andrés,Rubio,2822190,1,7
4,José,Castañeda,2322901,4,1
5,Rosa,López,1849334,5,2
6,Alfonso,Ríos,2535312,1,9
7,Alfredo,Niño,2859216,1,2
8,Manuel,Suárez,5847893,2,6
9,Manuel,Pacheco,1753924,6,10
10,Diana,Murillo,5767315,2,1
11,Armando,Rodríguez,3156832,3,9
12,José,Arias,5575113,2,4
13,Dolly,Herrera,2281940,4,1
14,Emilio,López,1404800,5,2
15,Lucía,Torres,1573082,6,7
16,Liliana,Triana,1462083,5,7
17,David,Serrano,1554199,5,2
18,Andrés,Contreras,1624490,5,4
19,Luis,Tovar,5744270,2,2
20,Martha,Cruz,5610363,2,9
21,Ana,Figueroa,1721531,5,7
22,Martín,Acosta,1714548,4,1
23,Mercedes,Morales,1792734,4,10
24,Víctor,Naranjo,3152384,3,2
25,Juan,Cabrera,2177479,4,4
26,Flor,Blanco,2827444,1,10
27,María,Aguilar,3517795,3,1
28,Inés,Zuluaga,2303552,4,10
29,Isabel,Torres,2098717,4,10
30,Carmen,Hernández,2156805,4,7
31,Ana,Barrios,5670674,2,1
32,Julián,García,5772751,2,4
33,Iván,Uribe,5467031,2,1
34,María,González,1490643,5,9
35,William,Molina,2562672,4,3
36,Luz,González,3587968,3,5
37,Johana,Martínez,2888104,1,7
38,Enrique,Gallego,2633892,1,3
39,Julio,Villegas,1614197,5,9
40,Adriana,Galeano,2847082,1,2
41,Rosa,Romero,1825716,5,10
42,Andrea,Sanabria,5477214,2,5
43,Libardo,Núñez,1832094,6,9
44,Doris,Pérez,1506897,5,3
45,José,Padilla,2219961,4,2
46,Olga,Jaramillo,1529385,6,10
47,Diana,Escobar,1581256,5,10
48,María,Rojas,1732466,6,4
49,Liliana,Castro,5425214,2,6
50,Rodrigo,Montoya,5583686,2,2
